Date,RL-Net (Defensive),RL-Net (Total Return)
2024-08-23,-0.0852476954460144,-0.020482879132032394
2024-08-24,-0.0852476954460144,-0.020482879132032394
2024-08-25,-0.0852476954460144,-0.020482879132032394
2024-08-26,-0.0852476954460144,-0.020482879132032394
2024-08-27,-0.0852476954460144,-0.020482879132032394
2024-08-28,-0.08606800436973572,-0.02045266702771187
2024-08-29,-0.08606800436973572,-0.02045266702771187
2024-08-30,-0.08606800436973572,-0.02045266702771187
2024-08-31,-0.08606800436973572,-0.02045266702771187
2024-09-01,-0.08606800436973572,-0.02045266702771187
2024-09-02,-0.08606800436973572,-0.02045266702771187
2024-09-03,-0.08606800436973572,-0.02045266702771187
2024-09-04,-0.08565264195203781,-0.020596235990524292
2024-09-05,-0.08565264195203781,-0.020596235990524292
2024-09-06,-0.08565264195203781,-0.020596235990524292
2024-09-07,-0.08565264195203781,-0.020596235990524292
2024-09-08,-0.08565264195203781,-0.020596235990524292
2024-09-09,-0.08565264195203781,-0.020596235990524292
2024-09-10,-0.08565264195203781,-0.020596235990524292
2024-09-11,-0.0861564502120018,-0.020412489771842957
2024-09-12,-0.0861564502120018,-0.020412489771842957
2024-09-13,-0.0861564502120018,-0.020412489771842957
2024-09-14,-0.0861564502120018,-0.020412489771842957
2024-09-15,-0.0861564502120018,-0.020412489771842957
2024-09-16,-0.0861564502120018,-0.020412489771842957
2024-09-17,-0.0861564502120018,-0.020412489771842957
2024-09-18,-0.08389940857887268,-0.02080613560974598
2024-09-19,-0.08389940857887268,-0.02080613560974598
2024-09-20,-0.08389940857887268,-0.02080613560974598
2024-09-21,-0.08389940857887268,-0.02080613560974598
2024-09-22,-0.08389940857887268,-0.02080613560974598
2024-09-23,-0.08389940857887268,-0.02080613560974598
2024-09-24,-0.08389940857887268,-0.02080613560974598
2024-09-25,-0.0846710354089737,-0.020317301154136658
2024-09-26,-0.0846710354089737,-0.020317301154136658
2024-09-27,-0.0846710354089737,-0.020317301154136658
2024-09-28,-0.0846710354089737,-0.020317301154136658
2024-09-29,-0.0846710354089737,-0.020317301154136658
2024-09-30,-0.0846710354089737,-0.020317301154136658
2024-10-01,-0.0846710354089737,-0.020317301154136658
2024-10-02,-0.08518707007169724,-0.020486891269683838
2024-10-03,-0.08518707007169724,-0.020486891269683838
2024-10-04,-0.08518707007169724,-0.020486891269683838
2024-10-05,-0.08518707007169724,-0.020486891269683838
2024-10-06,-0.08518707007169724,-0.020486891269683838
2024-10-07,-0.08518707007169724,-0.020486891269683838
2024-10-08,-0.08518707007169724,-0.020486891269683838
2024-10-09,-0.08507087081670761,-0.020352713763713837
2024-10-10,-0.08507087081670761,-0.020352713763713837
2024-10-11,-0.08507087081670761,-0.020352713763713837
2024-10-12,-0.08507087081670761,-0.020352713763713837
2024-10-13,-0.08507087081670761,-0.020352713763713837
2024-10-14,-0.08507087081670761,-0.020352713763713837
2024-10-15,-0.08507087081670761,-0.020352713763713837
2024-10-16,-0.08601479977369308,-0.019819317385554314
2024-10-17,-0.08601479977369308,-0.019819317385554314
2024-10-18,-0.08601479977369308,-0.019819317385554314
2024-10-19,-0.08601479977369308,-0.019819317385554314
2024-10-20,-0.08601479977369308,-0.019819317385554314
2024-10-21,-0.08601479977369308,-0.019819317385554314
2024-10-22,-0.08601479977369308,-0.019819317385554314
2024-10-23,-0.08609116822481155,-0.019419364631175995
2024-10-24,-0.08609116822481155,-0.019419364631175995
2024-10-25,-0.08609116822481155,-0.019419364631175995
2024-10-26,-0.08609116822481155,-0.019419364631175995
2024-10-27,-0.08609116822481155,-0.019419364631175995
2024-10-28,-0.08609116822481155,-0.019419364631175995
2024-10-29,-0.08609116822481155,-0.019419364631175995
2024-10-30,-0.0864720568060875,-0.01962117850780487
2024-10-31,-0.0864720568060875,-0.01962117850780487
2024-11-01,-0.0864720568060875,-0.01962117850780487
2024-11-02,-0.0864720568060875,-0.01962117850780487
2024-11-03,-0.0864720568060875,-0.01962117850780487
2024-11-04,-0.0864720568060875,-0.01962117850780487
2024-11-05,-0.0864720568060875,-0.01962117850780487
2024-11-06,-0.08421143889427185,-0.019574766978621483
2024-11-07,-0.08421143889427185,-0.019574766978621483
2024-11-08,-0.08421143889427185,-0.019574766978621483
2024-11-09,-0.08421143889427185,-0.019574766978621483
2024-11-10,-0.08421143889427185,-0.019574766978621483
2024-11-11,-0.08421143889427185,-0.019574766978621483
2024-11-12,-0.08421143889427185,-0.019574766978621483
2024-11-13,-0.08777069300413132,-0.018511299043893814
2024-11-14,-0.08777069300413132,-0.018511299043893814
2024-11-15,-0.08777069300413132,-0.018511299043893814
2024-11-16,-0.08777069300413132,-0.018511299043893814
2024-11-17,-0.08777069300413132,-0.018511299043893814
2024-11-18,-0.08777069300413132,-0.018511299043893814
2024-11-19,-0.08777069300413132,-0.018511299043893814
2024-11-20,-0.09377668797969818,-0.016468975692987442
2024-11-21,-0.09377668797969818,-0.016468975692987442
2024-11-22,-0.09377668797969818,-0.016468975692987442
2024-11-23,-0.09377668797969818,-0.016468975692987442
2024-11-24,-0.09377668797969818,-0.016468975692987442
2024-11-25,-0.09377668797969818,-0.016468975692987442
2024-11-26,-0.09377668797969818,-0.016468975692987442
2024-11-27,-0.09731634706258774,-0.014802321791648865
2024-11-28,-0.09731634706258774,-0.014802321791648865
2024-11-29,-0.09731634706258774,-0.014802321791648865
2024-11-30,-0.09731634706258774,-0.014802321791648865
2024-12-01,-0.09731634706258774,-0.014802321791648865
2024-12-02,-0.09731634706258774,-0.014802321791648865
2024-12-03,-0.09731634706258774,-0.014802321791648865
2024-12-04,-0.10307005792856216,-0.009467089548707008
2024-12-05,-0.10307005792856216,-0.009467089548707008
2024-12-06,-0.10307005792856216,-0.009467089548707008
2024-12-07,-0.10307005792856216,-0.009467089548707008
2024-12-08,-0.10307005792856216,-0.009467089548707008
