,Classical Markowitz,NW (Gamma=1.0),NW (Gamma=0.0),BTC (Buy & Hold),SAC-Net (Sharpe Incr),SAC-Net (Total Return)
2017-12-24,3.21732743236132,1.8957566944594293,2.1099121375509617,2.115312188455164,2.3302888248873104,3.8170610245962218
2017-12-25,3.535759526598317,2.027478730000648,2.2572260162250783,2.130568408614153,2.4922032861478414,4.082280267193127
2017-12-26,3.878346898690341,2.317442149505418,2.584428801564891,2.4242701152351063,2.848630158136001,4.666114930971124
2017-12-27,4.036427245672872,2.39921031906948,2.676782724465678,2.384601413664729,2.949140684479867,4.830753350749264
2017-12-28,3.772923170231935,2.3032147914251206,2.5707885649434545,2.1915034262054065,2.831141748314678,4.6374687260396925
2017-12-29,4.070142939737844,2.4315327993160656,2.717385315533298,2.1989475959035203,2.9888718975833344,4.8958342231966645
2017-12-30,3.6884967579692214,2.239945889634106,2.5045078720438085,1.927162522857548,2.7533707689045093,4.510078539171065
2017-12-31,3.963666983354524,2.459233213420413,2.7401170629524936,2.098489532242664,3.0103672128647108,4.931090082759652
2018-01-01,4.176595193181054,2.602083716758793,2.907070762554717,2.0231538066101185,3.1923531454056864,5.228839903853612
2018-01-02,4.624009888620015,2.871863930792418,3.2271177518223824,2.21047611984795,3.5460345385337897,5.806799261242815
2018-01-03,5.3149597985700625,3.3539198400526526,3.7794771370326443,2.242539266188799,4.146110209563635,6.790923248983162
2018-01-04,5.091026592964315,3.3085445411711554,3.767808135141649,2.3005278068969353,4.133916742497614,6.770574463384136
2018-01-05,5.145586871043957,3.832293099902122,4.291817752454254,2.5557587821205803,4.7084719206552705,7.712666953832038
2018-01-06,5.359226707007807,4.377450628111119,4.850889081100319,2.5700157659401457,5.332894641468257,8.734512010252342
2018-01-07,5.587371970302866,4.209449708998148,4.952357840885949,2.4113412192675345,5.233185536687619,8.914721761994555
2018-01-08,4.832489295933685,3.6434761570973304,4.490941676061219,2.2119823793674014,4.602447455267187,8.088867005667788
2018-01-09,4.71848528474505,3.3627073026157097,4.45788192104877,2.126555791953738,4.355189165401683,8.031935332499856
2018-01-10,4.606704311860648,3.3680069650441595,4.350419687643049,2.180915161214287,4.3241859859653635,7.835084785127314
2018-01-11,4.289427562394883,3.3136628635729295,4.250438769189504,1.9397470166571422,4.245598070849413,7.661022877788357
2018-01-12,4.55504205560152,3.544551492916921,4.605594893961047,2.0211837877727477,4.562815637927241,8.31072417255967
2018-01-13,4.719633933910911,3.558326677398797,4.754405352079128,2.0753310554721964,4.62389337013779,8.579834310730273
2018-01-14,4.488102546460132,3.392365894709833,4.522265504683086,1.9885345693621053,4.408234413929279,8.104068662387778
2018-01-15,4.242927777376837,3.212223279694788,4.275657861037004,1.995424417780247,4.174146789216347,7.680332194489999
2018-01-16,3.1351521205405444,2.393158421855469,3.1802525161226782,1.6271055360263502,3.109807040754911,5.677019882173868
2018-01-17,3.15391420281068,2.4178781444052286,3.2151179498899753,1.5837834620272715,3.141929282966203,5.769710326351797
2018-01-18,3.3528897880418995,2.5478089265243034,3.3889619258097965,1.6238004554681411,3.3107687736877502,6.070463517976955
2018-01-19,3.347198596071266,2.5575846342173483,3.399898069056695,1.64244295784581,3.3234718857858523,6.099169115406
2018-01-20,3.6540420498180737,2.767521168755326,3.6761982770641777,1.8157575622071125,3.5962754409510675,6.587026965803355
2018-01-21,3.2528863921682567,2.463319064181341,3.272516934621027,1.6230119482037708,3.196468052489841,5.863176313825595
2018-01-22,3.108682663470838,2.351022088053173,3.1231791300745146,1.5266468025725077,3.048231538711422,5.595236602425023
2018-01-23,3.0696240496846383,2.3305266911632634,3.096318102438609,1.5178229589712517,3.0215901317906297,5.54658269689009
2018-01-24,3.1787969582895856,2.47716442611325,3.29316767814245,1.584889631854407,3.1926456375582206,5.895644295886009
2018-01-25,3.1442119171210856,2.4702258849802776,3.28555804027199,1.5708756266606054,3.188784114995789,5.879136523504796
2018-01-26,3.062777226130231,2.4654419986525724,3.281855240171667,1.5585499174077264,3.1794684036427325,5.8683240551672995
2018-01-27,3.13671788956822,2.528229635117879,3.365397127746511,1.5956749100451244,3.2533278112464394,6.017978535175
2018-01-28,3.4153766294504204,2.6977893842234413,3.59665139709852,1.6431632062064396,3.4871694959976622,6.4507453214478865
2018-01-29,3.231422146890466,2.559930296805141,3.4095492167378625,1.573404851717306,3.2986683607458476,6.102080940349197
2018-01-30,2.8634149887690734,2.2627564150620114,3.0206537273143392,1.3982453158222534,2.92246538342783,5.405748307134906
2018-01-31,2.9087986889293425,2.333431108547391,3.1195539523639453,1.4140387769026355,3.0091628863699458,5.567219946024654
2018-02-01,2.5373448609899776,2.0845930321522106,2.7922882827960507,1.2606749643438087,2.6790307436707015,4.956840287819377
2018-02-02,2.330607570723927,1.923952915781873,2.55379932047821,1.2130766332711636,2.4521869579561426,4.53563452218537
2018-02-03,2.5238300649841476,2.0073996246877828,2.702858596234176,1.2594557711771837,2.613288373036528,4.834190123821505
2018-02-04,2.239196750659146,1.7785699482453439,2.3936736371960703,1.1297433659993534,2.3217825547319046,4.283125888724339
2018-02-05,1.8562550458987086,1.46855587673503,1.9762598054111506,0.933188225401341,1.8859398303178625,3.5365545810525782
2018-02-06,2.080737618694933,1.6462869998828509,2.215386748137635,1.0346343622736613,2.1054883623864162,3.9645640483730062
2018-02-07,1.9934213395816547,1.5932905933924617,2.1438999922865714,1.0167746011118701,2.0433764215962147,3.8369388864930696
2018-02-08,2.1644545644120528,1.719180780970897,2.313279829276316,1.099290091794465,2.263465161652517,4.140105777966175
2018-02-09,2.378506856348078,1.8428155574151004,2.4794280108508233,1.1602606234994135,2.4074486993937203,4.437841223751035
2018-02-10,2.3919017437901617,1.793432948921205,2.413374394500334,1.1448765857343004,2.3417814364685516,4.318918750741537
2018-02-11,2.158948423920274,1.6992103079705931,2.28564017265281,1.0776170745327207,2.21845022009171,4.090352953482115
2018-02-12,2.334883881164752,1.8199763102188218,2.4706225188062976,1.1783473280154644,2.3834180751334015,4.421429452965083
2018-02-13,2.286586645362037,1.7863087108681546,2.4039424580478057,1.1341986185140698,2.332588600913498,4.302131570637996
2018-02-14,2.482594039866271,2.1005523547530043,2.771645955745527,1.2466665938962336,2.725166974404765,4.960614522363529
2018-02-15,2.548587426285917,2.1691821812161356,2.9049144600080843,1.3318910164101787,2.8282232943522705,5.199235626320537
2018-02-16,2.6600889386754147,2.2099856389561983,2.937195627244377,1.3407049032894247,2.87417317547025,5.257046362269604
2018-02-17,2.818710005806253,2.251109576262957,3.0591625616623324,1.451155979281837,2.9495941773516328,5.475255360699793
2018-02-18,2.6623484130265043,2.1114944202879906,2.8915536601892984,1.3759974577074843,2.773787016501463,5.148907923482578
2018-02-19,2.741187974004822,2.155488730881776,2.9948479607338343,1.4611355101714216,2.845257673003677,5.281581512095189
2018-02-20,2.5990587184840748,2.028471558671607,2.8990804396459366,1.4841743140400785,2.7026661280740667,5.016916879413898
2018-02-21,2.4860393598294332,1.9231590106406267,2.743461316870768,1.3883089686636054,2.5610141179754926,4.753957482339987
2018-02-22,2.3282477118300315,1.8008881653269102,2.5782752663746678,1.2963179351733298,2.4010765496171,4.457068213488018
2018-02-23,2.4306473526400563,1.908292241345632,2.696542010093049,1.3341259288513927,2.5331773553228514,4.7022882208266825
2018-02-24,2.309830684550765,1.8331409772228404,2.5823731747495953,1.269373532821104,2.430728740049009,4.5121243947815195
2018-02-25,2.3066504189517287,1.8284100713699947,2.575779076058475,1.2500384637065853,2.3980020715581936,4.500479656488056
2018-02-26,2.39804851365124,1.9077785404418908,2.6875619301626066,1.3376855854428864,2.5044964935930625,4.695838558975113
2018-02-27,2.4278796915466634,1.9387637382524534,2.7311910430149684,1.3832131874277103,2.578475888180965,4.77210605387953
2018-02-28,2.315760756752737,1.862873816260902,2.624308238098983,1.3402928144444524,2.4998586304178976,4.585309306388516
2018-03-01,2.38334080616067,1.9223273477799705,2.7080899873341497,1.4097560040023291,2.5848572068031612,4.7316492380602275
2018-03-02,2.3327070575039714,1.8965475841436803,2.6718888861874737,1.427079636757224,2.5325336527463906,4.668194479142546
2018-03-03,2.4306212531400777,1.9569062630477416,2.756764819646095,1.4780718062067908,2.5760241989660777,4.816762371727123
2018-03-04,2.5132349278973596,2.0152589997144856,2.8161010421054566,1.48101472841661,2.652838331817198,4.960392751001435
2018-03-05,2.462860849479138,1.9838889680724854,2.7806272164609815,1.4888028668666906,2.6115435813021874,4.883178044132193
2018-03-06,2.3151988786405187,1.8617528153285328,2.6240597808047,1.3830719896776003,2.4507664831527145,4.582549967333794
2018-03-07,2.1521284743526476,1.7438176128055254,2.4484765838468348,1.274435638193849,2.295519412782511,4.2922621842277024
2018-03-08,2.0316515671098925,1.6480456987646133,2.3052546424218856,1.1992980846876942,2.169447577947981,4.0565275799249045
2018-03-09,2.0497735737004708,1.6539147497501816,2.329928597099661,1.1919406451485393,2.177173452775484,4.070973746197748
2018-03-10,1.9290292014865307,1.5588269552106195,2.196484192315731,1.130174104560753,2.052002176711959,3.8369230487230137
2018-03-11,2.0724436457855115,1.6846055364873522,2.3531303545487723,1.2175487991662506,2.2097575279715977,4.14440670442502
2018-03-12,1.9687432048274083,1.5950595122942905,2.249623930789407,1.169121161510133,2.0991768671037345,3.9242336466166616
2018-03-13,1.9650945557497124,1.5959715947180901,2.2398619863944607,1.1678159996594855,2.0965290058023354,3.9263814060531224
2018-03-14,1.7235284632109082,1.404547054733717,1.9801932822915045,1.0439901102034441,1.847010558710695,3.4559890900636705
2018-03-15,1.70623902919059,1.3930512774458006,1.9716091476292668,1.0479026552765567,1.8336616971961093,3.426232048933365
2018-03-16,1.6968854269478482,1.3941070214981313,1.9646688868275988,1.0526246534210544,1.8315228665950656,3.4274776747251785
2018-03-17,1.5816977777052972,1.3111287894675032,1.8343289094830684,0.9980269766264181,1.7171726553803581,3.2215803787431283
2018-03-18,1.5822932462249923,1.3412255218405316,1.855412740905306,1.0359725465569434,1.7565900501030645,3.2955311710875574
2018-03-19,1.739737682325372,1.4861216908138777,2.0153242576496555,1.0860122030650798,1.9463591318587699,3.6515560697423686
2018-03-20,1.769955718401764,1.5037704096961604,2.034769929370184,1.1210292752310478,1.9694735127293035,3.6949209230531723
2018-03-21,1.8204756935329731,1.523676744733798,2.057832884304889,1.1230159746516153,1.9955446428685566,3.7438327276156675
2018-03-22,1.7779825351234126,1.4793887889664976,1.9922070737906021,1.0974721568122603,1.9375411329647327,3.6350125772969384
2018-03-23,1.7945917602916903,1.4838116251090847,1.9987681580302334,1.116314339168927,1.9433336907033325,3.6458799406392117
2018-03-24,1.725957445092637,1.4382882554749774,1.9396968672635868,1.089403533171899,1.8837121623171529,3.5340242754239704
2018-03-25,1.710751835442994,1.4256816453619992,1.9210883635290605,1.067525761772307,1.867201403575757,3.5030485282222332
2018-03-26,1.6085286136980197,1.34579635192432,1.8092330302144706,1.030920607600922,1.7625764137717383,3.3067620159631574
2018-03-27,1.508904452713145,1.263343729980973,1.6927920632928992,0.982540331511987,1.654589026697477,3.1041673136854406
2018-03-28,1.5053551160114171,1.2554992287428612,1.684278004960638,0.99765632104941,1.6443151619267817,3.0848925530412092
2018-03-29,1.311751260784666,1.0925512861908253,1.458566566875473,0.8934715616895342,1.4309038116584998,2.684512476228117
2018-03-30,1.3190665691366805,1.09033615747691,1.4641610093831796,0.8584839084950961,1.4280026701104078,2.6790696936246756
2018-03-31,1.3378028860179556,1.094163965866414,1.4782236870798358,0.8687642235004714,1.4330159146502761,2.6884750225897784
2018-04-01,1.285697851986304,1.0683790352222944,1.4445356463890082,0.8525048116745955,1.3992311327868856,2.625118759156863
2018-04-02,1.321643007093658,1.1157303833520291,1.510710669513491,0.8818348139993788,1.4677533781688699,2.741465976794386
2018-04-03,1.4254227543827098,1.2063226973330872,1.6250803521215855,0.9270053498265312,1.571186454396838,2.964060699629135
2018-04-04,1.2914196194496088,1.0841237604670324,1.4671524392145605,0.8489285506055582,1.4233627958982924,2.663805165410792
2018-04-05,1.2867490266765707,1.0822974242107315,1.46885392036681,0.8436642861633279,1.4284895532786888,2.6593176596408235
2018-04-06,1.2437417242446531,1.0442518388851445,1.421470016850602,0.8216864763755997,1.3852131061970558,2.565835686022104
