,Equal Weight,Classical Markowitz,NW (Gamma=1.0),NW (Gamma=0.0),BTC (Buy & Hold),SAC-Net (Excess NW),SAC-Net (Sharpe Incr)
2019-05-02,1.1340134840699505,1.0565960683697697,1.1510556388448536,1.1570399539956315,1.3007605426781568,1.1510556773435547,1.147786680523113
2019-05-03,1.178905450939238,1.0911341098419463,1.1785210126988874,1.1841093079782508,1.3614635199224683,1.1785210490766975,1.175174056709216
2019-05-04,1.1576978334941834,1.0702261794403038,1.1566984934690636,1.1620963071489614,1.3762240118599776,1.1566985345365997,1.153413529612161
2019-05-05,1.1513061859828158,1.0628124084710917,1.1544935637192908,1.1598991293763583,1.3678297265634116,1.1544936044043197,1.151214860890356
2019-05-06,1.149257709310039,1.052200933101716,1.1500631314129017,1.1536663679652437,1.3562396804968189,1.1500631570808189,1.1467969921050811
2019-05-07,1.1340896306473363,1.0368284938400099,1.1339221177307566,1.13316903078111,1.3756163663490828,1.1339221430384272,1.1307018184227342
2019-05-08,1.1409265797234664,1.0515614005991045,1.1407375151910926,1.140635868921554,1.4112447687667935,1.140737540650874,1.1374978604189274
2019-05-09,1.1159964176116222,1.0166765736620063,1.1139776048854348,1.1152912221556288,1.4558417028454484,1.1139776297479698,1.1108139474792793
2019-05-10,1.138734270080648,1.0410890369966723,1.1402922745156447,1.145273427883518,1.503236803075374,1.140292299965489,1.1370538844202231
2019-05-11,1.2740912292762765,1.1291866404243835,1.273154659967618,1.2589010714913065,1.6862646329150033,1.2731546883827782,1.2695389454254087
2019-05-12,1.2260601578810646,1.0866032134744452,1.2253466344620023,1.21573917065491,1.6309752361610828,1.2253466618101494,1.221866693007314
2019-05-13,1.3031940800716335,1.1767858251007872,1.3050654754690103,1.31575721486446,1.8170347214535012,1.3050655045963786,1.301359135358356
2019-05-14,1.4050620168471355,1.2747581580882523,1.429829494600234,1.4530374247943225,1.8582981402060557,1.4155126998343113,1.4257687752326005
2019-05-15,1.549707175638857,1.4116675468664268,1.5867915024210355,1.6061241665856478,1.9066527227097547,1.5377567163366064,1.5822850222747593
2019-05-16,1.5102761960197175,1.3774938289567058,1.5337949281689391,1.5475179652394275,1.830742216723299,1.5096866100951132,1.5294389870107212
2019-05-17,1.4036244352491494,1.2816078789864265,1.4291024285536118,1.4401589684566352,1.700610721626967,1.4032614998143569,1.4250438147877265
2019-05-18,1.3961386467293428,1.2815665794516198,1.4224295181626758,1.4281448196311988,1.6836947742427555,1.389365171427311,1.418389832709575
2019-05-19,1.5379720943153072,1.4138087249156208,1.5607219028084602,1.5713129375049877,1.8856201191851316,1.5249176597730605,1.5562894619937142
2019-05-20,1.489167729838855,1.372177230808778,1.510417817263763,1.5201017419199412,1.8344710781635047,1.4742361654533214,1.506128241232957
2019-05-21,1.5090983853463533,1.4048142844457379,1.557131523943079,1.5692341007856543,1.831023121506303,1.5198308032626688,1.552709277414872
