Date,NW (Gamma=1.0),NW (Gamma=0.0),RL-Net (Defensive),RL-Net (Total Return)
2024-06-13,1.3448574135909366,1.2577155617546987,1.2577155617546987,1.3349463978589455
2024-06-14,1.3413224145274008,1.254114623963929,1.254114623963929,1.329764525111535
2024-06-15,1.3470402130035428,1.2596454225049172,1.2596454225049172,1.339097003682597
2024-06-16,1.3538194375807924,1.2657747296985529,1.2657747296985529,1.3458595718164637
2024-06-17,1.3521868914347581,1.263438299011954,1.263438299011954,1.3422215689028798
2024-06-18,1.3340699829434857,1.246287052456207,1.246287052456207,1.313709651678703
2024-06-19,1.3395091982140783,1.251598327914138,1.251598327914138,1.3210466636358182
2024-06-20,1.3370956629211475,1.250378856961998,1.250378856961998,1.3186974101930236
2024-06-21,1.3323312602827833,1.2438254804134674,1.2438254804134674,1.314134388361949
2024-06-22,1.340095041261995,1.2487401322766307,1.2487401322766307,1.321679134990073
2024-06-23,1.3176910451769366,1.2281381712794535,1.2281381712794535,1.2998195075466727
2024-06-24,1.2919228172009416,1.2060917261984119,1.2060917261984119,1.2744434556062094
2024-06-25,1.3185371298124495,1.2319368017187193,1.2319368017187193,1.3005094985665304
2024-06-26,1.3052133452442143,1.2184184834521326,1.2184184834521326,1.2875231129284779
2024-06-27,1.3228943335730077,1.2381299676751263,1.2381299676751263,1.3047586856858668
2024-06-28,1.3112982166784746,1.227282666522234,1.227282666522234,1.2934290541824167
2024-06-29,1.313913336867672,1.2278799093949628,1.2278799093949628,1.2961874861457485
2024-06-30,1.3295513574012916,1.2452378524951038,1.2452378524951038,1.3114408522843315
2024-07-01,1.3318844915233599,1.2441675233447602,1.2441675233447602,1.3138652894334695
2024-07-02,1.3410235666451256,1.25107774782282,1.25107774782282,1.322800828045301
2024-07-03,1.3004751918442168,1.2141250988582264,1.2141250988582264,1.2831581582215486
2024-07-04,1.2327315011457745,1.134246460923667,1.134246460923667,1.2227789578664257
2024-07-05,1.2123376687576668,1.1097958046198833,1.1097958046198833,1.2046436163709242
2024-07-06,1.2498881890455604,1.158900901950736,1.158900901950736,1.2392591293545416
2024-07-07,1.2031650008890424,1.094758348352202,1.094758348352202,1.1950996080508582
2024-07-08,1.2301328349997172,1.1268360698395141,1.1268360698395141,1.2193711768655704
2024-07-09,1.2384757621173759,1.1421559991093757,1.1421559991093757,1.2290947801057213
2024-07-10,1.2477222166607136,1.1529633133340023,1.1529633133340023,1.2376770318456098
