Date,NW (Gamma=1.0),RL-Net (Defensive),RL-Net (Total Return)
2024-11-21,0.06058983627084834,0.06058983627084834,0.06058983627084834
2024-11-22,0.0611453596914178,0.0611453596914178,0.0611453596914178
2024-11-23,0.06210846210485853,0.06210846210485853,0.06210846210485853
2024-11-24,0.009821058598613801,0.009821058598613801,0.009821058598613801
2024-11-25,-0.04084988953169984,-0.04084988953169984,-0.04084988953169984
2024-11-26,-0.01844837578165917,-0.01844837578165917,-0.01844837578165917
2024-11-27,0.050475745372696154,0.050475745372696154,0.050475745372696154
2024-11-28,0.002523695347992394,0.002523695347992394,0.002523695347992394
2024-11-29,0.0531393818986594,0.0531393818986594,0.0531393818986594
2024-11-30,0.004391500116647353,0.004391500116647353,0.004391500116647353
2024-12-01,0.061805234145772006,0.061805234145772006,0.061805234145772006
2024-12-02,0.02321176862126363,0.02321176862126363,0.02321176862126363
2024-12-03,0.08760624151929433,0.08760624151929433,0.08760624151929433
2024-12-04,-0.021646464543324206,-0.021646464543324206,-0.021646464543324206
2024-12-05,-0.011464570706239213,-0.011464570706239213,-0.011464570706239213
2024-12-06,0.028636551250845143,0.028636551250845143,0.028636551250845143
2024-12-07,0.004124939576939961,0.004124939576939961,0.004124939576939961
2024-12-08,-0.0003946145272076876,-0.0003946145272076876,-0.0003946145272076876
2024-12-09,-0.12618026069290111,-0.12618026069290111,-0.12618026069290111
2024-12-10,0.00031849600140923767,0.00031849600140923767,0.00031849600140923767
2024-12-11,0.03787825155964476,0.03787825155964476,0.03787825155964476
2024-12-12,0.00017584014689700197,0.00017584014689700197,0.00017584014689700197
2024-12-13,0.014093662869671916,0.014093662869671916,0.014093662869671916
2024-12-14,-0.022184851728079977,-0.022184851728079977,-0.022184851728079977
2024-12-15,0.01832931948948709,0.01832931948948709,0.01832931948948709
2024-12-16,-0.0024450523167093593,-0.0024450523167093593,-0.0024450523167093593
2024-12-17,-0.0006525442110160993,-0.0006525442110160993,-0.0006525442110160993
2024-12-18,-0.08073807068976652,-0.08073807068976652,-0.08073807068976652
2024-12-19,-0.04957477986512457,-0.04957477986512457,-0.04957477986512457
2024-12-20,0.010624135903125727,0.010624135903125727,0.010624135903125727
2024-12-21,-0.019394172608207423,-0.019394172608207423,-0.019394172608207423
2024-12-22,-0.013704589616275575,-0.013704589616275575,-0.013704589616275575
2024-12-23,0.037534517690599,0.037534517690599,0.037534517690599
2024-12-24,0.02692226475211136,0.02692226475211136,0.02692226475211136
2024-12-25,-0.007349887069564626,-0.007349887069564626,-0.007349887069564626
2024-12-26,-0.04657411143001983,-0.04657411143001983,-0.04657411143001983
2024-12-27,-0.002888001069916855,-0.002888001069916855,-0.002888001069916855
2024-12-28,0.016436790218374846,0.016436790218374846,0.016436790218374846
2024-12-29,-0.025547295990865235,-0.025547295990865235,-0.025547295990865235
2024-12-30,-0.002717550732240538,-0.002717550732240538,-0.002717550732240538
2024-12-31,0.00280569190061672,0.00280569190061672,0.00280569190061672
